"Notes"	"Year"	"Year Code"	"Residence State"	"Residence State Code"	"Gender"	"Gender Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"2021"	"2021"	"Alaska"	"02"	"Female"	"F"	"35-44 years"	"35-44"	137	48018	285.3
	"2021"	"2021"	"Alaska"	"02"	"Female"	"F"	"45-54 years"	"45-54"	201	39164	513.2
	"2021"	"2021"	"Alaska"	"02"	"Female"	"F"	"55-64 years"	"55-64"	334	43150	774.0
	"2021"	"2021"	"Alaska"	"02"	"Female"	"F"	"65-74 years"	"65-74"	573	32325	1772.6
	"2021"	"2021"	"Alaska"	"02"	"Female"	"F"	"75-84 years"	"75-84"	547	12429	4401.0
	"2021"	"2021"	"Alaska"	"02"	"Female"	"F"	"85+ years"	"85+"	574	4067	14113.6
	"2021"	"2021"	"Alaska"	"02"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2021"	"2021"	"Alaska"	"02"	"Male"	"M"	"< 1 year"	"1"	36	4797	750.5
	"2021"	"2021"	"Alaska"	"02"	"Male"	"M"	"1-4 years"	"1-4"	Suppressed	19946	Suppressed
	"2021"	"2021"	"Alaska"	"02"	"Male"	"M"	"5-14 years"	"5-14"	Suppressed	52674	Suppressed
	"2021"	"2021"	"Alaska"	"02"	"Male"	"M"	"15-24 years"	"15-24"	100	52756	189.6
	"2021"	"2021"	"Alaska"	"02"	"Male"	"M"	"25-34 years"	"25-34"	192	60325	318.3
	"2021"	"2021"	"Alaska"	"02"	"Male"	"M"	"35-44 years"	"35-44"	239	53639	445.6
	"2021"	"2021"	"Alaska"	"02"	"Male"	"M"	"45-54 years"	"45-54"	330	43999	750.0
	"2021"	"2021"	"Alaska"	"02"	"Male"	"M"	"55-64 years"	"55-64"	668	47226	1414.5
	"2021"	"2021"	"Alaska"	"02"	"Male"	"M"	"65-74 years"	"65-74"	864	34101	2533.7
	"2021"	"2021"	"Alaska"	"02"	"Male"	"M"	"75-84 years"	"75-84"	731	12070	6056.3
	"2021"	"2021"	"Alaska"	"02"	"Male"	"M"	"85+ years"	"85+"	472	2671	17671.3
	"2021"	"2021"	"Alaska"	"02"	"Male"	"M"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2021"	"2021"	"Arizona"	"04"	"Female"	"F"	"< 1 year"	"1"	204	37289	547.1
	"2021"	"2021"	"Arizona"	"04"	"Female"	"F"	"1-4 years"	"1-4"	46	159527	28.8
	"2021"	"2021"	"Arizona"	"04"	"Female"	"F"	"5-14 years"	"5-14"	66	451127	14.6
	"2021"	"2021"	"Arizona"	"04"	"Female"	"F"	"15-24 years"	"15-24"	318	474376	67.0
	"2021"	"2021"	"Arizona"	"04"	"Female"	"F"	"25-34 years"	"25-34"	648	483509	134.0
	"2021"	"2021"	"Arizona"	"04"	"Female"	"F"	"35-44 years"	"35-44"	1063	446725	238.0
	"2021"	"2021"	"Arizona"	"04"	"Female"	"F"	"45-54 years"	"45-54"	1963	423119	463.9
	"2021"	"2021"	"Arizona"	"04"	"Female"	"F"	"55-64 years"	"55-64"	4159	452647	918.8
	"2021"	"2021"	"Arizona"	"04"	"Female"	"F"	"65-74 years"	"65-74"	7132	415187	1717.8
	"2021"	"2021"	"Arizona"	"04"	"Female"	"F"	"75-84 years"	"75-84"	9501	222181	4276.2
	"2021"	"2021"	"Arizona"	"04"	"Female"	"F"	"85+ years"	"85+"	11253	76915	14630.4
	"2021"	"2021"	"Arizona"	"04"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2021"	"2021"	"Arizona"	"04"	"Male"	"M"	"< 1 year"	"1"	225	38841	579.3
	"2021"	"2021"	"Arizona"	"04"	"Male"	"M"	"1-4 years"	"1-4"	60	166199	36.1
	"2021"	"2021"	"Arizona"	"04"	"Male"	"M"	"5-14 years"	"5-14"	78	471494	16.5
	"2021"	"2021"	"Arizona"	"04"	"Male"	"M"	"15-24 years"	"15-24"	819	500567	163.6
	"2021"	"2021"	"Arizona"	"04"	"Male"	"M"	"25-34 years"	"25-34"	1685	517583	325.6
	"2021"	"2021"	"Arizona"	"04"	"Male"	"M"	"35-44 years"	"35-44"	2167	468467	462.6
	"2021"	"2021"	"Arizona"	"04"	"Male"	"M"	"45-54 years"	"45-54"	3322	424562	782.5
	"2021"	"2021"	"Arizona"	"04"	"Male"	"M"	"55-64 years"	"55-64"	6604	427238	1545.7
	"2021"	"2021"	"Arizona"	"04"	"Male"	"M"	"65-74 years"	"65-74"	10249	367813	2786.5
	"2021"	"2021"	"Arizona"	"04"	"Male"	"M"	"75-84 years"	"75-84"	11204	194174	5770.1
	"2021"	"2021"	"Arizona"	"04"	"Male"	"M"	"85+ years"	"85+"	8674	56776	15277.6
	"2021"	"2021"	"Arizona"	"04"	"Male"	"M"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2021"	"2021"	"Arkansas"	"05"	"Female"	"F"	"< 1 year"	"1"	147	16986	865.4
	"2021"	"2021"	"Arkansas"	"05"	"Female"	"F"	"1-4 years"	"1-4"	22	71594	30.7
	"2021"	"2021"	"Arkansas"	"05"	"Female"	"F"	"5-14 years"	"5-14"	33	193753	17.0
	"2021"	"2021"	"Arkansas"	"05"	"Female"	"F"	"15-24 years"	"15-24"	117	196798	59.5
	"2021"	"2021"	"Arkansas"	"05"	"Female"	"F"	"25-34 years"	"25-34"	307	196522	156.2
	"2021"	"2021"	"Arkansas"	"05"	"Female"	"F"	"35-44 years"	"35-44"	616	189719	324.7
	"2021"	"2021"	"Arkansas"	"05"	"Female"	"F"	"45-54 years"	"45-54"	1076	180217	597.1
	"2021"	"2021"	"Arkansas"	"05"	"Female"	"F"	"55-64 years"	"55-64"	2451	196927	1244.6
	"2021"	"2021"	"Arkansas"	"05"	"Female"	"F"	"65-74 years"	"65-74"	3779	167567	2255.2
	"2021"	"2021"	"Arkansas"	"05"	"Female"	"F"	"75-84 years"	"75-84"	4722	88346	5344.9
	"2021"	"2021"	"Arkansas"	"05"	"Female"	"F"	"85+ years"	"85+"	5416	34284	15797.5
	"2021"	"2021"	"Arkansas"	"05"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2021"	"2021"	"Arkansas"	"05"	"Male"	"M"	"< 1 year"	"1"	166	17734	936.1
	"2021"	"2021"	"Arkansas"	"05"	"Male"	"M"	"1-4 years"	"1-4"	28	75246	37.2
	"2021"	"2021"	"Arkansas"	"05"	"Male"	"M"	"5-14 years"	"5-14"	48	204442	23.5
	"2021"	"2021"	"Arkansas"	"05"	"Male"	"M"	"15-24 years"	"15-24"	321	204767	156.8
	"2021"	"2021"	"Arkansas"	"05"	"Male"	"M"	"25-34 years"	"25-34"	622	197121	315.5
	"2021"	"2021"	"Arkansas"	"05"	"Male"	"M"	"35-44 years"	"35-44"	970	189721	511.3
	"2021"	"2021"	"Arkansas"	"05"	"Male"	"M"	"45-54 years"	"45-54"	1658	178274	930.0
	"2021"	"2021"	"Arkansas"	"05"	"Male"	"M"	"55-64 years"	"55-64"	3622	187969	1926.9
	"2021"	"2021"	"Arkansas"	"05"	"Male"	"M"	"65-74 years"	"65-74"	5289	147855	3577.2
	"2021"	"2021"	"Arkansas"	"05"	"Male"	"M"	"75-84 years"	"75-84"	5106	70242	7269.2
	"2021"	"2021"	"Arkansas"	"05"	"Male"	"M"	"85+ years"	"85+"	3554	19807	17943.2
	"2021"	"2021"	"Arkansas"	"05"	"Male"	"M"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2021"	"2021"	"California"	"06"	"Female"	"F"	"< 1 year"	"1"	783	206419	379.3
	"2021"	"2021"	"California"	"06"	"Female"	"F"	"1-4 years"	"1-4"	140	876621	16.0
	"2021"	"2021"	"California"	"06"	"Female"	"F"	"5-14 years"	"5-14"	243	2438524	10.0
	"2021"	"2021"	"California"	"06"	"Female"	"F"	"15-24 years"	"15-24"	996	2494647	39.9
	"2021"	"2021"	"California"	"06"	"Female"	"F"	"25-34 years"	"25-34"	2159	2839969	76.0
	"2021"	"2021"	"California"	"06"	"Female"	"F"	"35-44 years"	"35-44"	3822	2638675	144.8
	"2021"	"2021"	"California"	"06"	"Female"	"F"	"45-54 years"	"45-54"	7234	2446639	295.7
	"2021"	"2021"	"California"	"06"	"Female"	"F"	"55-64 years"	"55-64"	16178	2411891	670.8
	"2021"	"2021"	"California"	"06"	"Female"	"F"	"65-74 years"	"65-74"	26439	1882333	1404.6
	"2021"	"2021"	"California"	"06"	"Female"	"F"	"75-84 years"	"75-84"	35645	961800	3706.1
	"2021"	"2021"	"California"	"06"	"Female"	"F"	"85+ years"	"85+"	58207	423128	13756.4
	"2021"	"2021"	"California"	"06"	"Female"	"F"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2021"	"2021"	"California"	"06"	"Male"	"M"	"< 1 year"	"1"	921	216442	425.5
	"2021"	"2021"	"California"	"06"	"Male"	"M"	"1-4 years"	"1-4"	166	917663	18.1
	"2021"	"2021"	"California"	"06"	"Male"	"M"	"5-14 years"	"5-14"	291	2563633	11.4
	"2021"	"2021"	"California"	"06"	"Male"	"M"	"15-24 years"	"15-24"	2853	2615434	109.1
	"2021"	"2021"	"California"	"06"	"Male"	"M"	"25-34 years"	"25-34"	6436	2999673	214.6
	"2021"	"2021"	"California"	"06"	"Male"	"M"	"35-44 years"	"35-44"	8641	2767766	312.2
	"2021"	"2021"	"California"	"06"	"Male"	"M"	"45-54 years"	"45-54"	14134	2480907	569.7
	"2021"	"2021"	"California"	"06"	"Male"	"M"	"55-64 years"	"55-64"	28849	2365841	1219.4
	"2021"	"2021"	"California"	"06"	"Male"	"M"	"65-74 years"	"65-74"	38436	1675680	2293.8
	"2021"	"2021"	"California"	"06"	"Male"	"M"	"75-84 years"	"75-84"	40041	759888	5269.3
	"2021"	"2021"	"California"	"06"	"Male"	"M"	"85+ years"	"85+"	40614	254263	15973.2
	"2021"	"2021"	"California"	"06"	"Male"	"M"	"Not Stated"	"NS"	16	Not Applicable	Not Applicable
	"2021"	"2021"	"Colorado"	"08"	"Female"	"F"	"< 1 year"	"1"	143	29407	486.3
	"2021"	"2021"	"Colorado"	"08"	"Female"	"F"	"1-4 years"	"1-4"	19	123926	Unreliable
	"2021"	"2021"	"Colorado"	"08"	"Female"	"F"	"5-14 years"	"5-14"	37	344334	10.7
	"2021"	"2021"	"Colorado"	"08"	"Female"	"F"	"15-24 years"	"15-24"	194	362014	53.6
	"2021"	"2021"	"Colorado"	"08"	"Female"	"F"	"25-34 years"	"25-34"	405	434511	93.2
	"2021"	"2021"	"Colorado"	"08"	"Female"	"F"	"35-44 years"	"35-44"	752	403108	186.6
	"2021"	"2021"	"Colorado"	"08"	"Female"	"F"	"45-54 years"	"45-54"	1103	344143	320.5
	"2021"	"2021"	"Colorado"	"08"	"Female"	"F"	"55-64 years"	"55-64"	2382	354867	671.2
	"2021"	"2021"	"Colorado"	"08"	"Female"	"F"	"65-74 years"	"65-74"	4001	289868	1380.3
	"2021"	"2021"	"Colorado"	"08"	"Female"	"F"	"75-84 years"	"75-84"	5200	130411	3987.4
	"2021"	"2021"	"Colorado"	"08"	"Female"	"F"	"85+ years"	"85+"	7655	50830	15060.0
	"2021"	"2021"	"Colorado"	"08"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2021"	"2021"	"Colorado"	"08"	"Male"	"M"	"< 1 year"	"1"	172	30934	556.0
	"2021"	"2021"	"Colorado"	"08"	"Male"	"M"	"1-4 years"	"1-4"	31	128893	24.1
	"2021"	"2021"	"Colorado"	"08"	"Male"	"M"	"5-14 years"	"5-14"	73	362153	20.2
	"2021"	"2021"	"Colorado"	"08"	"Male"	"M"	"15-24 years"	"15-24"	549	389831	140.8
	"2021"	"2021"	"Colorado"	"08"	"Male"	"M"	"25-34 years"	"25-34"	1165	474213	245.7
	"2021"	"2021"	"Colorado"	"08"	"Male"	"M"	"35-44 years"	"35-44"	1410	436706	322.9
	"2021"	"2021"	"Colorado"	"08"	"Male"	"M"	"45-54 years"	"45-54"	2032	366024	555.2
	"2021"	"2021"	"Colorado"	"08"	"Male"	"M"	"55-64 years"	"55-64"	3953	347352	1138.0
	"2021"	"2021"	"Colorado"	"08"	"Male"	"M"	"65-74 years"	"65-74"	5749	268976	2137.4
	"2021"	"2021"	"Colorado"	"08"	"Male"	"M"	"75-84 years"	"75-84"	5983	109110	5483.5
	"2021"	"2021"	"Colorado"	"08"	"Male"	"M"	"85+ years"	"85+"	5273	30458	17312.4
	"2021"	"2021"	"Colorado"	"08"	"Male"	"M"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2021"	"2021"	"Connecticut"	"09"	"Female"	"F"	"< 1 year"	"1"	67	15938	420.4
	"2021"	"2021"	"Connecticut"	"09"	"Female"	"F"	"1-4 years"	"1-4"	Suppressed	71311	Suppressed
	"2021"	"2021"	"Connecticut"	"09"	"Female"	"F"	"5-14 years"	"5-14"	17	202061	Unreliable
	"2021"	"2021"	"Connecticut"	"09"	"Female"	"F"	"15-24 years"	"15-24"	88	235250	37.4
	"2021"	"2021"	"Connecticut"	"09"	"Female"	"F"	"25-34 years"	"25-34"	205	222409	92.2
	"2021"	"2021"	"Connecticut"	"09"	"Female"	"F"	"35-44 years"	"35-44"	313	227287	137.7
	"2021"	"2021"	"Connecticut"	"09"	"Female"	"F"	"45-54 years"	"45-54"	647	234743	275.6
	"2021"	"2021"	"Connecticut"	"09"	"Female"	"F"	"55-64 years"	"55-64"	1584	266703	593.9
	"2021"	"2021"	"Connecticut"	"09"	"Female"	"F"	"65-74 years"	"65-74"	2500	200274	1248.3
	"2021"	"2021"	"Connecticut"	"09"	"Female"	"F"	"75-84 years"	"75-84"	3897	107368	3629.6
	"2021"	"2021"	"Connecticut"	"09"	"Female"	"F"	"85+ years"	"85+"	7271	52666	13805.9
	"2021"	"2021"	"Connecticut"	"09"	"Female"	"F"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2021"	"2021"	"Connecticut"	"09"	"Male"	"M"	"< 1 year"	"1"	100	16635	601.1
	"2021"	"2021"	"Connecticut"	"09"	"Male"	"M"	"1-4 years"	"1-4"	17	74327	Unreliable
	"2021"	"2021"	"Connecticut"	"09"	"Male"	"M"	"5-14 years"	"5-14"	21	210219	10.0
	"2021"	"2021"	"Connecticut"	"09"	"Male"	"M"	"15-24 years"	"15-24"	203	244721	83.0
	"2021"	"2021"	"Connecticut"	"09"	"Male"	"M"	"25-34 years"	"25-34"	471	230538	204.3
	"2021"	"2021"	"Connecticut"	"09"	"Male"	"M"	"35-44 years"	"35-44"	756	224633	336.5
	"2021"	"2021"	"Connecticut"	"09"	"Male"	"M"	"45-54 years"	"45-54"	1102	225298	489.1
	"2021"	"2021"	"Connecticut"	"09"	"Male"	"M"	"55-64 years"	"55-64"	2718	254289	1068.9
	"2021"	"2021"	"Connecticut"	"09"	"Male"	"M"	"65-74 years"	"65-74"	3441	178258	1930.3
	"2021"	"2021"	"Connecticut"	"09"	"Male"	"M"	"75-84 years"	"75-84"	4194	82909	5058.6
	"2021"	"2021"	"Connecticut"	"09"	"Male"	"M"	"85+ years"	"85+"	4709	27760	16963.3
	"2021"	"2021"	"Connecticut"	"09"	"Male"	"M"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2021"	"2021"	"Delaware"	"10"	"Female"	"F"	"< 1 year"	"1"	28	5017	558.1
	"2021"	"2021"	"Delaware"	"10"	"Female"	"F"	"1-4 years"	"1-4"	Suppressed	21064	Suppressed
	"2021"	"2021"	"Delaware"	"10"	"Female"	"F"	"5-14 years"	"5-14"	Suppressed	57990	Suppressed
	"2021"	"2021"	"Delaware"	"10"	"Female"	"F"	"15-24 years"	"15-24"	29	59919	48.4
	"2021"	"2021"	"Delaware"	"10"	"Female"	"F"	"25-34 years"	"25-34"	90	64398	139.8
	"2021"	"2021"	"Delaware"	"10"	"Female"	"F"	"35-44 years"	"35-44"	146	61280	238.3
	"2021"	"2021"	"Delaware"	"10"	"Female"	"F"	"45-54 years"	"45-54"	220	60316	364.7
	"2021"	"2021"	"Delaware"	"10"	"Female"	"F"	"55-64 years"	"55-64"	609	75601	805.5
	"2021"	"2021"	"Delaware"	"10"	"Female"	"F"	"65-74 years"	"65-74"	1050	66689	1574.5
	"2021"	"2021"	"Delaware"	"10"	"Female"	"F"	"75-84 years"	"75-84"	1332	32176	4139.7
	"2021"	"2021"	"Delaware"	"10"	"Female"	"F"	"85+ years"	"85+"	1684	11598	14519.7
	"2021"	"2021"	"Delaware"	"10"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2021"	"2021"	"Delaware"	"10"	"Male"	"M"	"< 1 year"	"1"	25	5263	475.0
	"2021"	"2021"	"Delaware"	"10"	"Male"	"M"	"1-4 years"	"1-4"	Suppressed	22157	Suppressed
	"2021"	"2021"	"Delaware"	"10"	"Male"	"M"	"5-14 years"	"5-14"	Suppressed	59937	Suppressed
	"2021"	"2021"	"Delaware"	"10"	"Male"	"M"	"15-24 years"	"15-24"	92	60806	151.3
	"2021"	"2021"	"Delaware"	"10"	"Male"	"M"	"25-34 years"	"25-34"	170	63960	265.8
	"2021"	"2021"	"Delaware"	"10"	"Male"	"M"	"35-44 years"	"35-44"	249	59622	417.6
	"2021"	"2021"	"Delaware"	"10"	"Male"	"M"	"45-54 years"	"45-54"	416	56491	736.4
	"2021"	"2021"	"Delaware"	"10"	"Male"	"M"	"55-64 years"	"55-64"	929	67917	1367.8
	"2021"	"2021"	"Delaware"	"10"	"Male"	"M"	"65-74 years"	"65-74"	1387	57708	2403.5
	"2021"	"2021"	"Delaware"	"10"	"Male"	"M"	"75-84 years"	"75-84"	1518	26410	5747.8
	"2021"	"2021"	"Delaware"	"10"	"Male"	"M"	"85+ years"	"85+"	1294	7065	18315.6
	"2021"	"2021"	"Delaware"	"10"	"Male"	"M"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2021"	"2021"	"District of Columbia"	"11"	"Female"	"F"	"< 1 year"	"1"	27	4316	625.6
	"2021"	"2021"	"District of Columbia"	"11"	"Female"	"F"	"1-4 years"	"1-4"	0	15548	Unreliable
	"2021"	"2021"	"District of Columbia"	"11"	"Female"	"F"	"5-14 years"	"5-14"	10	34192	Unreliable
	"2021"	"2021"	"District of Columbia"	"11"	"Female"	"F"	"15-24 years"	"15-24"	18	44149	Unreliable
	"2021"	"2021"	"District of Columbia"	"11"	"Female"	"F"	"25-34 years"	"25-34"	50	77578	64.5
	"2021"	"2021"	"District of Columbia"	"11"	"Female"	"F"	"35-44 years"	"35-44"	93	56011	166.0
	"2021"	"2021"	"District of Columbia"	"11"	"Female"	"F"	"45-54 years"	"45-54"	171	35223	485.5
	"2021"	"2021"	"District of Columbia"	"11"	"Female"	"F"	"55-64 years"	"55-64"	411	33867	1213.6
	"2021"	"2021"	"District of Columbia"	"11"	"Female"	"F"	"65-74 years"	"65-74"	569	28581	1990.8
	"2021"	"2021"	"District of Columbia"	"11"	"Female"	"F"	"75-84 years"	"75-84"	573	14671	3905.7
	"2021"	"2021"	"District of Columbia"	"11"	"Female"	"F"	"85+ years"	"85+"	834	7010	11897.3
	"2021"	"2021"	"District of Columbia"	"11"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2021"	"2021"	"District of Columbia"	"11"	"Male"	"M"	"< 1 year"	"1"	30	4455	673.4
	"2021"	"2021"	"District of Columbia"	"11"	"Male"	"M"	"1-4 years"	"1-4"	Suppressed	16440	Suppressed
	"2021"	"2021"	"District of Columbia"	"11"	"Male"	"M"	"5-14 years"	"5-14"	Suppressed	35096	Suppressed
	"2021"	"2021"	"District of Columbia"	"11"	"Male"	"M"	"15-24 years"	"15-24"	64	37144	172.3
	"2021"	"2021"	"District of Columbia"	"11"	"Male"	"M"	"25-34 years"	"25-34"	169	68148	248.0
	"2021"	"2021"	"District of Columbia"	"11"	"Male"	"M"	"35-44 years"	"35-44"	174	54230	320.9
	"2021"	"2021"	"District of Columbia"	"11"	"Male"	"M"	"45-54 years"	"45-54"	255	35666	715.0
	"2021"	"2021"	"District of Columbia"	"11"	"Male"	"M"	"55-64 years"	"55-64"	653	32149	2031.2
	"2021"	"2021"	"District of Columbia"	"11"	"Male"	"M"	"65-74 years"	"65-74"	747	22136	3374.6
	"2021"	"2021"	"District of Columbia"	"11"	"Male"	"M"	"75-84 years"	"75-84"	533	9847	5412.8
	"2021"	"2021"	"District of Columbia"	"11"	"Male"	"M"	"85+ years"	"85+"	444	3593	12357.4
	"2021"	"2021"	"District of Columbia"	"11"	"Male"	"M"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2021"	"2021"	"Florida"	"12"	"Female"	"F"	"< 1 year"	"1"	552	102587	538.1
	"2021"	"2021"	"Florida"	"12"	"Female"	"F"	"1-4 years"	"1-4"	131	437772	29.9
	"2021"	"2021"	"Florida"	"12"	"Female"	"F"	"5-14 years"	"5-14"	152	1186165	12.8
	"2021"	"2021"	"Florida"	"12"	"Female"	"F"	"15-24 years"	"15-24"	673	1218588	55.2
	"2021"	"2021"	"Florida"	"12"	"Female"	"F"	"25-34 years"	"25-34"	1745	1364290	127.9
	"2021"	"2021"	"Florida"	"12"	"Female"	"F"	"35-44 years"	"35-44"	3125	1352712	231.0
	"2021"	"2021"	"Florida"	"12"	"Female"	"F"	"45-54 years"	"45-54"	5598	1362915	410.7
	"2021"	"2021"	"Florida"	"12"	"Female"	"F"	"55-64 years"	"55-64"	13304	1540942	863.4
	"2021"	"2021"	"Florida"	"12"	"Female"	"F"	"65-74 years"	"65-74"	21751	1386887	1568.3
	"2021"	"2021"	"Florida"	"12"	"Female"	"F"	"75-84 years"	"75-84"	29998	800710	3746.4
	"2021"	"2021"	"Florida"	"12"	"Female"	"F"	"85+ years"	"85+"	43316	317203	13655.6
	"2021"	"2021"	"Florida"	"12"	"Female"	"F"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2021"	"2021"	"Florida"	"12"	"Male"	"M"	"< 1 year"	"1"	716	106833	670.2
	"2021"	"2021"	"Florida"	"12"	"Male"	"M"	"1-4 years"	"1-4"	149	456602	32.6
	"2021"	"2021"	"Florida"	"12"	"Male"	"M"	"5-14 years"	"5-14"	195	1241826	15.7
	"2021"	"2021"	"Florida"	"12"	"Male"	"M"	"15-24 years"	"15-24"	1645	1266714	129.9
	"2021"	"2021"	"Florida"	"12"	"Male"	"M"	"25-34 years"	"25-34"	3990	1401731	284.6
	"2021"	"2021"	"Florida"	"12"	"Male"	"M"	"35-44 years"	"35-44"	5775	1364641	423.2
	"2021"	"2021"	"Florida"	"12"	"Male"	"M"	"45-54 years"	"45-54"	9503	1339796	709.3
	"2021"	"2021"	"Florida"	"12"	"Male"	"M"	"55-64 years"	"55-64"	21012	1438628	1460.6
	"2021"	"2021"	"Florida"	"12"	"Male"	"M"	"65-74 years"	"65-74"	30769	1204371	2554.8
	"2021"	"2021"	"Florida"	"12"	"Male"	"M"	"75-84 years"	"75-84"	35645	670097	5319.4
	"2021"	"2021"	"Florida"	"12"	"Male"	"M"	"85+ years"	"85+"	31616	219118	14428.8
	"2021"	"2021"	"Florida"	"12"	"Male"	"M"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2021"	"2021"	"Georgia"	"13"	"Female"	"F"	"< 1 year"	"1"	352	58957	597.0
	"2021"	"2021"	"Georgia"	"13"	"Female"	"F"	"1-4 years"	"1-4"	76	250849	30.3
	"2021"	"2021"	"Georgia"	"13"	"Female"	"F"	"5-14 years"	"5-14"	93	704308	13.2
	"2021"	"2021"	"Georgia"	"13"	"Female"	"F"	"15-24 years"	"15-24"	397	730486	54.3
	"2021"	"2021"	"Georgia"	"13"	"Female"	"F"	"25-34 years"	"25-34"	1034	755954	136.8
	"2021"	"2021"	"Georgia"	"13"	"Female"	"F"	"35-44 years"	"35-44"	1808	734382	246.2
	"2021"	"2021"	"Georgia"	"13"	"Female"	"F"	"45-54 years"	"45-54"	3355	715441	468.9
	"2021"	"2021"	"Georgia"	"13"	"Female"	"F"	"55-64 years"	"55-64"	7049	694494	1015.0
	"2021"	"2021"	"Georgia"	"13"	"Female"	"F"	"65-74 years"	"65-74"	11136	535218	2080.6
	"2021"	"2021"	"Georgia"	"13"	"Female"	"F"	"75-84 years"	"75-84"	13264	258084	5139.4
	"2021"	"2021"	"Georgia"	"13"	"Female"	"F"	"85+ years"	"85+"	14957	91632	16322.9
	"2021"	"2021"	"Georgia"	"13"	"Female"	"F"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2021"	"2021"	"Georgia"	"13"	"Male"	"M"	"< 1 year"	"1"	418	61339	681.5
	"2021"	"2021"	"Georgia"	"13"	"Male"	"M"	"1-4 years"	"1-4"	92	262170	35.1
	"2021"	"2021"	"Georgia"	"13"	"Male"	"M"	"5-14 years"	"5-14"	165	730939	22.6
	"2021"	"2021"	"Georgia"	"13"	"Male"	"M"	"15-24 years"	"15-24"	1127	751968	149.9
	"2021"	"2021"	"Georgia"	"13"	"Male"	"M"	"25-34 years"	"25-34"	2007	738199	271.9
	"2021"	"2021"	"Georgia"	"13"	"Male"	"M"	"35-44 years"	"35-44"	2806	694298	404.1
	"2021"	"2021"	"Georgia"	"13"	"Male"	"M"	"45-54 years"	"45-54"	5194	683068	760.4
	"2021"	"2021"	"Georgia"	"13"	"Male"	"M"	"55-64 years"	"55-64"	10671	648643	1645.1
	"2021"	"2021"	"Georgia"	"13"	"Male"	"M"	"65-74 years"	"65-74"	14062	452769	3105.8
	"2021"	"2021"	"Georgia"	"13"	"Male"	"M"	"75-84 years"	"75-84"	13393	196943	6800.4
	"2021"	"2021"	"Georgia"	"13"	"Male"	"M"	"85+ years"	"85+"	8814	49425	17833.1
	"2021"	"2021"	"Georgia"	"13"	"Male"	"M"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2021"	"2021"	"Hawaii"	"15"	"Female"	"F"	"< 1 year"	"1"	24	7674	312.7
	"2021"	"2021"	"Hawaii"	"15"	"Female"	"F"	"1-4 years"	"1-4"	Suppressed	32413	Suppressed
	"2021"	"2021"	"Hawaii"	"15"	"Female"	"F"	"5-14 years"	"5-14"	Suppressed	84119	Suppressed
	"2021"	"2021"	"Hawaii"	"15"	"Female"	"F"	"15-24 years"	"15-24"	24	77238	31.1
	"2021"	"2021"	"Hawaii"	"15"	"Female"	"F"	"25-34 years"	"25-34"	60	93292	64.3
	"2021"	"2021"	"Hawaii"	"15"	"Female"	"F"	"35-44 years"	"35-44"	123	93358	131.8
	"2021"	"2021"	"Hawaii"	"15"	"Female"	"F"	"45-54 years"	"45-54"	243	84303	288.2
	"2021"	"2021"	"Hawaii"	"15"	"Female"	"F"	"55-64 years"	"55-64"	590	91063	647.9
	"2021"	"2021"	"Hawaii"	"15"	"Female"	"F"	"65-74 years"	"65-74"	953	83936	1135.4
	"2021"	"2021"	"Hawaii"	"15"	"Female"	"F"	"75-84 years"	"75-84"	1193	43942	2714.9
	"2021"	"2021"	"Hawaii"	"15"	"Female"	"F"	"85+ years"	"85+"	2689	24882	10807.0
	"2021"	"2021"	"Hawaii"	"15"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2021"	"2021"	"Hawaii"	"15"	"Male"	"M"	"< 1 year"	"1"	48	8136	590.0
	"2021"	"2021"	"Hawaii"	"15"	"Male"	"M"	"1-4 years"	"1-4"	Suppressed	34562	Suppressed
	"2021"	"2021"	"Hawaii"	"15"	"Male"	"M"	"5-14 years"	"5-14"	Suppressed	89561	Suppressed
